camp,uid,address_2026,events_2026,talks_2026,parties_2026,website,instagram,facebook,soundcloud,youtube,email,hometown,accepting_campers,publishes_lineup,official_2026
Midnight Roast,a1XVI00000FKnAP2A1,2:00 & C,0,0,0,,midnightroastcamp,,,,redacted@example.invalid,Dallas,,,yes
The Alphabet Cookout,a1XVI00000FKnDd2AL,6:15 & D,0,0,0,,,,,,redacted@example.invalid,"Washington, DC",yes,,yes
Snow Cone Zone,a1XVI00000FKnOv2AL,6:15 & C,0,0,0,,,groups,,,redacted@example.invalid,"Fremont, CA",,,yes
BRC3PO (BRC 3:00 Post Office),a1XVI00000FKnYb2AL,3:00 & B@ 7:30,0,0,0,http://www.brc3po.com,_brc3po_,2008,,,redacted@example.invalid,"Sebastopol, CA",,,yes
Camp Kerosene,a1XVI00000FKniH2AT,5:45 & B,0,0,0,https://campkerosene.github.io/,,,,,redacted@example.invalid,Sacramento,,,yes
17 Virgins,a1XVI00000FKnoj2AD,9:15 & A,0,0,0,https://17virgins.bm/,17virgins,17VirginsBlackRockCity,,,,Toronto,,,yes
Steep?,a1XVI00000FKnvB2AT,8:15 & B,0,0,0,,,campsteep,,,redacted@example.invalid,Los Angeles,yes,,yes
Fatwatt,a1XVI00000FKnwn2AD,3:45 & B,0,0,0,,,,,,,Austin,,,yes
The Fluffy Cloud,a1XVI00000FKo1d2AD,10:00 & H,0,0,0,,realfluffycloud,,,,redacted@example.invalid,Sao Paulo,yes,,yes
Northwest Mist,a1XVI00000FKoG92AL,8:15 & Esp,0,0,0,http://www.northwestmist.com,,,,,redacted@example.invalid,Vancouver,yes,,yes
ImagiMorphia,a1XVI00000FKoHl2AL,4:45 & G,0,0,0,,,,,,,Los Angeles,yes,,yes
Johnny Tacomas at The Last Resort,a1XVI00000FKoMc2AL,2:30 & K,0,0,0,,,,,,redacted@example.invalid,Tacoma and Namco,,,yes
Dusk,a1XVI00000FKoOD2A1,,0,0,0,,,,,,,Reno,yes,,yes
Fingerbang,a1XVI00000FKoRR2A1,4:15 & F,0,0,0,,,,,,,Los Angeles,,,yes
Duckbutt,a1XVI00000FKoWH2A1,6:45 & B,0,0,0,,,,,,,Santa Cruz,,,yes
Slutt Putt,a1XVI00000FL0yr2AD,4:30 & C,0,0,0,,,Slutt-Putt-Burning-Man-Theme-Camp-1830138493881867,,,redacted@example.invalid,Tucson,,,yes
Chicken Dragon,a1XVI00000FL4BF2A1,5:15 & D,0,0,0,,,,,,,"Rochester, NY",,,yes
Burntown,a1XVI00000FL5fB2AT,7:30 & G@ 9:45,0,0,0,,,,,,redacted@example.invalid,Auburn,,,yes
Bar Mactropolis,a1XVI00000FLBvt2AH,3:00 & I,0,0,0,,,barmactropolis,,,redacted@example.invalid,Oakland,,,yes
ICU:  Impromptu Crafters Union,a1XVI00000FLClV2AX,5:45 & B,0,0,0,,,,,,redacted@example.invalid,"Portland, Texas, Georgia, Klamath Falls",,,yes
Desert Healers,a1XVI00000FLCn72AH,5:45 & H,0,0,0,,,,,,redacted@example.invalid,San Francisco,,,yes
Amma,a1XVI00000FLDeL2AX,2:00 & I,0,0,0,,,,,,redacted@example.invalid,Miami,yes,,yes
Tossed and Sauced,a1XVI00000FLFjN2AX,7:15 & B,0,0,0,,,,,,,Chicago,,,yes
Lollypopolus,a1XVI00000FLFzV2AX,6:15 & F,0,0,0,,,Lollypopolus,,,redacted@example.invalid,"Portland, Tokyo, Boise",yes,,yes
Twilight language,a1XVI00000FLIPV2A5,10:00 & I,0,0,0,http://thetwilightlanguage.org,THETWILIGHTLANGUAGE,,,,redacted@example.invalid,Bay Area,yes,,yes
Abstininthe,a1XVI00000FLIsX2AX,6:45 & D,0,0,0,,,abstininthe,,,,Berkeley,,,yes
Amulet,a1XVI00000FLIxN2AX,6:45 & C,0,0,0,,,,,,redacted@example.invalid,"All Corners of the globe, but mostly SF Bay Area",,,yes
Giraffè Caffè,,7:30 & G@ 10:45,0,0,0,,,,,,,,,,
NetsaH,a1XVI00000FLJlN2AX,7:45 & F,0,0,0,,netsah_project,,,,,Tel Aviv,yes,,yes
A-playa-mask,a1XVI00000FLJzt2AH,4:45 & F,0,0,0,,,,,,,Santa Monica,,,yes
Powerhouse,a1XVI00000FLK6L2AX,5:15 & F,0,0,0,,,,,,redacted@example.invalid,Sacramento,,,yes
Through the Looking Gl.ass,a1XVI00000FLKUX2A5,7:00 & E,0,0,0,,,,,,redacted@example.invalid,New York,yes,,yes
Juicy Rootz,a1XVI00000FLKZN2A5,7:45 & D,0,0,0,,,,,,,Brooklyn,,,yes
Cozy Dinosaur,a1XVI00000FLKnt2AH,9:15 & C,0,0,0,,,leddinosaur,,,,San Francisco,,,yes
Terrible Turtle,a1XVI00000FLKvx2AH,6:15 & E,0,0,0,https://www.terribleturtle.camp,,,,,redacted@example.invalid,Boulder,yes,,yes
Roasted Breauxs & Coffee Heauxs,a1XVI00000FLKxZ2AX,4:15 & A,0,0,0,,,groups,,,redacted@example.invalid,Auburn Ca,yes,,yes
Chicken Cooter Soup,a1XVI00000FLL7F2AX,8:15 & F,0,0,0,,,,,,redacted@example.invalid,645 and G,,,yes
Pinky Swears,a1XVI00000FLLGv2AP,4:15 & C,0,0,0,,,,,,redacted@example.invalid,San Francisco,yes,,yes
Kurenivka,a1XVI00000FLLIX2A5,9:45 & F,0,0,0,https://kurenivka.ua,kurenivka.ua,kurenivka.ua,kurenivka,KURENIVKA,redacted@example.invalid,Kyiv,yes,yes,yes
Penny Smashing Point,a1XVI00000FLLTp2AP,5:45 & G,0,0,0,https://obolensky.com,,,,,redacted@example.invalid,Los Angeles,,,yes
Black Rock Yearbook,a1XVI00000FLLiL2AX,3:45 & B,0,0,0,https://www.blackrockyearbook.com,,,,,redacted@example.invalid,Los Angeles,yes,,yes
Soon to be Infamous,a1XVI00000FLLqP2AX,8:15 & C,0,0,0,https://soontobeinfamous.weebly.com/,,,,,redacted@example.invalid,San Francisco,,,yes
Discosmos,a1XVI00000FLLs12AH,2:00 & K,0,0,0,,,,,,,Mexico City,yes,,yes
NYC Community Container,a1XVI00000FLNsD2AX,5:15 & F,0,0,0,https://nyccontainer.org/,,groups,,,redacted@example.invalid,New York City,,,yes
Dogs N Recreation,a1XVI00000FLRnl2AH,4:30 & H,0,0,0,,,,,,redacted@example.invalid,Austin,,,yes
Coolsville,a1XVI00000FLT812AH,2:15 & A,0,0,0,,,,,,,"Coolsville, USA",,,yes
Just Dandy,a1XVI00000FLVwD2AX,9:45 & C,0,0,0,,,,,,,Reno,yes,,yes
Edna's Oasis,a1XVI00000FLVzR2AX,2:15 & E,0,0,0,,,,,,redacted@example.invalid,Truckee,,,yes
Nocino's,a1XVI00000FLa4g2AD,9:15 & B,0,0,0,https://www.nocinospizza.com/,,,,,redacted@example.invalid,San Diego,,,yes
In Dust We Trust,a1XVI00000FLaz72AD,3:15 & D,0,0,0,https://www.industwetrustcamp.com/,,,,,redacted@example.invalid,Santa Rosa,,,yes
Congee Central,a1XVI00000FLb3x2AD,4:15 & G,0,0,0,,,,,,redacted@example.invalid,Oakland,,,yes
Steam Bath Project,a1XVI00000FLcb72AD,9:00 & F,0,0,0,,,SteamBathProject,,,redacted@example.invalid,Boston,,,yes
Mellow Mountain,a1XVI00000FLeBV2A1,8:30 & C,0,0,0,https://photos.app.goo.gl/vG6Tfu7DUQZQyvEg7,,,,,redacted@example.invalid,San Francisco Bay,,,yes
"Hang-Out, the",a1XVI00000FLehl2AD,6:00 & C,0,0,0,,,,,,,"Chico, CA",yes,,yes
The Society of Supreme Excellence,a1XVI00000FLeuf2AD,2:30 & C,0,0,0,,,,,,,"Nelson, BC",yes,,yes
Hot Stuff,a1XVI00000FLfkH2AT,2:00 & F,0,0,0,,,,,,,London,,,yes
Tot,a1XVI00000FLfvZ2AT,9:00 & B@ 2:15,0,0,0,,,,,,redacted@example.invalid,Phoenix,,,yes
Gnometopia,a1XVI00000FLgur2AD,6:00 & C,0,0,0,,,,,,,Oakland,,,yes
Chico Urban Area,a1XVI00000FLhR72AL,4:15 & G,0,0,0,,,intergalactictransporter,,,redacted@example.invalid,Chico,,,yes
Now and Then Artist Collective,a1XVI00000FLi8f2AD,9:15 & A,0,0,0,http://burningman-nowandthen.org/,,,,,redacted@example.invalid,Los Gatos,,,yes
Space Bar,a1XVI00000FLj7x2AD,5:15 & C,0,0,0,,,,,,,Miami,yes,,yes
Potty Project,a1XVI00000FLjHd2AL,3:15 & B,0,0,0,https://burningman.org/event/participate/volunteering/teams/pottie-project/,burningman,burningman,,,,Corvallis,,,yes
Campoline,a1XVI00000FLkQb2AL,9:00 & E,0,0,0,,,Campoline.Tribe,,,,"Napa Valley, CA",,,yes
Tailgate,a1XVI00000FLmm02AD,7:45 & C,0,0,0,,,,,,redacted@example.invalid,Boston,,,yes
Base Camp,a1XVI00000FLoqn2AD,8:45 & G,0,0,0,,,metrochop,,,redacted@example.invalid,Reno,,,yes
PO9,a1XVI00000FLoxF2AT,8:30 & A,0,0,0,http://brcpo9.com,,,,,redacted@example.invalid,Mesa,yes,,yes
Critical Connections,a1XVI00000FLpID2A1,4:30 & Esp,0,0,0,,,,,,redacted@example.invalid,San Francisco,yes,,yes
Gianni's Fellas,a1XVI00000FLpQH2A1,2:15 & C,0,0,0,,,,,,,,,,yes
Hippocampus,a1XVI00000FLpYL2A1,5:00 & F,0,0,0,,,,,,,San Francisco,,,yes
We < 3 CamPINK!,a1XVI00000FLpdB2AT,3:15 & E,0,0,0,,,,,,,"Austin, TX",,,yes
Playa Pinups and Fine Art Fatales,a1XVI00000FLpgP2AT,3:45 & E,0,0,0,,,sincityvillage,,,redacted@example.invalid,Logan,,,yes
Battle Born Burners,a1XVI00000FLpq52AD,6:15 & G,0,0,0,,,,,,,Northern Nevada,,,yes
Deep Eat,a1XVI00000FLpwX2AT,4:15 & C,0,0,0,,,,,,,San Francisco,,,yes
Cloudy AF,a1XVI00000FLq1N2AT,4:30 & D,0,0,0,,,,,,,San Francisco,,,yes
Shangri-Lounge,a1XVI00000FLq4c2AD,6:45 & A,0,0,0,,,ShangriLounge,,,redacted@example.invalid,Boulder,,,yes
A Touchy Subject,a1XVI00000FLq6D2AT,4:45 & G,0,0,0,,,,,,,San Francisco,,,yes
Molotov Cocktail,a1XVI00000FLq7p2AD,3:00 & B@ 11:00,0,0,0,,,https://www.facebook.com/campmolotovcocktail/,,,,Tacoma,yes,,yes
Chatterbox Camp,a1XVI00000FLqB32AL,3:15 & A,0,0,0,,https://www.instagram.com/chatterbox_art_car/,,,,redacted@example.invalid,Salt Lake City,,,yes
Burnstream Court,a1XVI00000FLqCf2AL,3:30 & E,0,0,0,http://www.batmo.com/burnstream/,,,,,redacted@example.invalid,Nevada City,yes,,yes
Emergence with  Buddha Lounge,a1XVI00000FLqEH2A1,10:00 & G,0,0,0,,,,,,redacted@example.invalid,Ashland,,,yes
2 girls 1 camp,a1XVI00000FLqFt2AL,6:00 & D,0,0,0,https://2girls1camp.com/,,,,,,Bay Area,yes,,yes
The New Barbarians,a1XVI00000FLqHV2A1,7:15 & D,0,0,0,,,jurassicporkofficial,,,redacted@example.invalid,San Francisco,yes,,yes
Halloween Camp,a1XVI00000FLqiv2AD,9:15 & C,0,0,0,,halloweencampbm,,,,,San Francisco,,,yes
Cinderbox,a1XVI00000FLqkX2AT,4:15 & F,0,0,0,,,,,,,Berkeley,,,yes
French Manila,a1XVI00000FLqxR2AT,4:45 & B,0,0,0,,,,,,,San Francisco,yes,,yes
Coffee and Pasties,a1XVI00000FLr0f2AD,3:45 & B,0,0,0,,,,,,,Marin county California,yes,,yes
Alma Borekas,a1XVI00000FLrS52AL,6:30 & D,0,0,0,https://www.almaborekas.com,,,,,redacted@example.invalid,"Los Angeles, EU,",,,yes
Flying Pegasus,a1XVI00000FLrWv2AL,8:45 & A,0,0,0,,,,,,,"Austin, Texas",yes,,yes
Chain Reaction,a1XVI00000FLra92AD,5:45 & A,0,0,0,http://instgram.com/camp_chain_reaction?r=nametag,rsrc.php,docs,,,,San Francisco,,,yes
Hot Noodz,a1XVI00000FLrdN2AT,8:30 & B,0,0,0,,,,,,redacted@example.invalid,PNW,yes,,yes
Camp Synthesis,a1XVI00000FLupl2AD,5:45 & B,0,0,0,,,campsynthesis,,,,"Virginia City, NV",yes,,yes
Uncle Larry's Misguided Burners,a1XVI00000FLwEr2AL,4:00 & F,0,0,0,http://www.BurningManRadio.com,,,,,redacted@example.invalid,Murphys,yes,,yes
Camp Sweaty Betty,a1XVI00000FLzJB2A1,7:15 & C,0,0,0,,,,,,redacted@example.invalid,"Seattle/Petaluma CA/ Ventura, CA",yes,,yes
Black Rock Yacht Club,a1XVI00000FM0Tl2AL,8:45 & K,0,0,0,,,,,,,Point Reyes,,,yes
Camp Byte This,a1XVI00000FM1WH2A1,10:00 & C,0,0,0,https://www.thebyteproject.com/,campbytethis,CampByteThis,,campbytethis,redacted@example.invalid,Kinnelon,,,yes
BRC Ski Resort,a1XVI00000FM27N2AT,9:00 & Esp,0,0,0,,brcskiresort,,,,redacted@example.invalid,Los Angeles,yes,,yes
Blazing Death Ship,a1XVI00000FM2vN2AT,4:15 & B,0,0,0,,blazingdeathship,,,,redacted@example.invalid,Los Angeles,yes,,yes
Someplace Cozy,a1XVI00000FM3t32AD,6:15 & D,0,0,0,,,,,,,San Francisco,,,yes
The Gutter,a1XVI00000FM44L2AT,5:15 & C,0,0,0,,,,,,,Portland,,,yes
The Parlour Room,a1XVI00000FM6fd2AD,9:45 & B,0,0,0,,,,,,redacted@example.invalid,San Francisco,,,yes
Elementum,a1XVI00000FM6kT2AT,9:30 & B,0,0,0,https://www.elementumcamp.com/,elementumcamp,2008,,,redacted@example.invalid,Venice,yes,,yes
Wanderlust,a1XVI00000FM6u92AD,4:45 & B,0,0,0,,,,,,,Reno,yes,,yes
Paralunatics,a1XVI00000FM8Sv2AL,7:15 & C,0,0,0,,,,,,,Oakland,,,yes
Live Laugh Love Lounge,a1XVI00000FM9NN2A1,2:15 & K,0,0,0,,,,,,,"Bombay Beach, CA",,,yes
Art Support for Bass Snail,a1XVI00000FM9SD2A1,4:15 & G,0,0,0,,,,,,,Boise,,,yes
Slutty Microphone,a1XVI00000FMA3J2AX,8:30 & A,0,0,0,https://sluttymic.camp,,,,sluttymicrophone7329,redacted@example.invalid,San Francisco,yes,,yes
Petaled Portal,a1XVI00000FME252AH,9:15 & D,0,0,0,,,,,,,Ventura,,,yes
Vault 21+,a1XVI00000FMEJp2AP,9:00 & B@ 11:00,0,0,0,,,https://www.facebook.com/profile.php?id=61579126721025,,,redacted@example.invalid,San Francisco,yes,,yes
So Far So Good,a1XVI00000FMElF2AX,4:00 & A,0,0,0,https://paulkarpenko.com/pages/bm/,campsofarsogood,,,,redacted@example.invalid,Los Angeles,,,yes
PLAYA 54,a1XVI00000FMIk22AH,8:15 & C,0,0,0,https://playa54.com/,,,,,redacted@example.invalid,Palm Springs,,,yes
Dusty Scouts of Camp Campy Camp,a1XVI00000FMJD42AP,4:00 & A,0,0,0,https://campcampycamp.camp/,,,,,redacted@example.invalid,Boston,yes,,yes
Sparkle Camels Costume Bazaar,a1XVI00000FMJbF2AX,8:30 & A,0,0,0,,,,,,,San Francisco,,,yes
Happiness And Joy Tour Massage,a1XVI00000FMJsz2AH,4:30 & C,0,0,0,,,,,,redacted@example.invalid,Chico,,,yes
KashyyyK,a1XVI00000FMJwD2AX,8:15 & D,0,0,0,,,,,,redacted@example.invalid,New York,,,yes
Synaesthesia,a1XVI00000FMKDx2AP,8:00 & D,0,0,0,https://www.synaesthesia.cool/,synaesthesia_collective,synaesthesiacollective,,,redacted@example.invalid,Oakland,yes,,yes
Suburbia,a1XVI00000FMKXJ2A5,8:30 & Esp,0,0,0,,SuburbiaHOA,,,,redacted@example.invalid,Portland Oregon,yes,,yes
Pilov's House,a1XVI00000FMLEr2AP,2:30 & D,0,0,0,,,,,,,Dallas,,,yes
B.E.D Bureau of Erotic Discourse,a1XVI00000FMLJh2AP,6:15 & E,0,0,0,https://bedtalks.org,bureauoferoticdiscourse,2008,,BEDBureauofEroticDiscourse,redacted@example.invalid,Tucson,yes,yes,yes
Lost Art,a1XVI00000FMLRl2AP,8:45 & A,0,0,0,,https://www.instagram.com/lostartcamp?igsh=OWlsdTVlODhhNzU1,,,,redacted@example.invalid,"Portland, Oregon",yes,,yes
Soft Landing,a1XVI00000FMLef2AH,6:30 & F,0,0,0,http://www.campsoftlanding.co,squarespace,2008,,,redacted@example.invalid,San Francisco,yes,,yes
The Pearly Gate,a1XVI00000FMLht2AH,8:00 & B,0,0,0,,,,,,,"Boise, Idaho",,,yes
Freeloader Pizza Kitchen,a1XVI00000FMLy12AH,7:15 & D,0,0,0,,,,,,,Salt Lake City,,,yes
Luminos,a1XVI00000FMM9J2AX,3:45 & C,0,0,0,,,,,,redacted@example.invalid,"Phoenix, Az",yes,,yes
Titicaca,a1XVI00000FMMAv2AP,3:00 & G@ 1:00,0,0,0,http://camptiticaca.com,,,,,redacted@example.invalid,South Lake Tahoe,yes,,yes
The GASS Co.,a1XVI00000FMMCX2A5,9:15 & D,0,0,0,,,thegassco,,,redacted@example.invalid,Agua Dulce,,,yes
Kosmik Dust,a1XVI00000FMMFl2AP,6:00 & Esp,0,0,0,,,,,,redacted@example.invalid,LAS VEGAS,,,yes
Kinsey Walhberg Field Lab,a1XVI00000FMMHN2A5,9:15 & D,0,0,0,,,,,,,Penngrove,,,yes
Hyperspace,a1XVI00000FMMIz2AP,7:15 & B,0,0,0,,,,,,,Denver,,,yes
Swirl Support,a1XVI00000FMMKb2AP,4:15 & C,0,0,0,,,,,,,San Francisco,,,yes
Homeslice,a1XVI00000FMMin2AH,4:15 & F,0,0,0,http://www.camphomeslice.org,,2008,,,redacted@example.invalid,Los Angeles,yes,,yes
plop!,a1XVI00000FMMqr2AH,9:45 & B,0,0,0,,,,,,,San Luis Obispo,yes,,yes
Mutant Ninja Burners,a1XVI00000FMN0X2AX,3:45 & C,0,0,0,,,,,,,Phoenix,,,yes
Zeniza,a1XVI00000FMN292AH,9:00 & D,0,0,0,,,,,,,New York City,,,yes
Matcha Mama,a1XVI00000FMN6z2AH,2:30 & E,0,0,0,,,,,,,Manhattan,,,yes
LEGENDARY Playground of the Gods,a1XVI00000FMN8b2AH,4:30 & E,0,0,0,,,,,,redacted@example.invalid,Salt Lake City,yes,,yes
Astral Lab,a1XVI00000FMNBp2AP,10:00 & F,0,0,0,https://astrallab.org/,astrallabbrc,2008,player,,redacted@example.invalid,Los Angeles,yes,,yes
Sakenoma,a1XVI00000FMNDR2A5,4:45 & Esp,0,0,0,,,,,,redacted@example.invalid,Where U Park It,,,yes
Janky Barge,a1XVI00000FMNIH2A5,4:15 & D,0,0,0,,,TheJankyBarge,,,,San Francisco,yes,,yes
Shitty Wood,a1XVI00000FMNa12AH,7:15 & A,0,0,0,,,ShttyWood,,,,"""Toronto""",yes,,yes
Next Year on Luna,a1XVI00000FMNdF2AX,7:30 & D,0,0,0,,,,,,,Berkeley,,,yes
Nudibranch,a1XVI00000FMNmv2AH,7:15 & E,0,0,0,,http://www.instagram.com/nudibranch.artcar/,,,,,Salt Lake City,,,yes
Atlantis,a1XVI00000FMNtN2AX,4:30 & B@ 5:00,0,0,0,https://atlantisburns.com/,atlantisburns,2008,player,,redacted@example.invalid,San Francisco,,,yes
Do Baskets Dream,a1XVI00000FMNwb2AH,9:15 & C,0,0,0,https://www.dobasketsdream.com/,,,,,redacted@example.invalid,San Francisco,,,yes
My Favorite Things,a1XVI00000FMO332AH,9:15 & C,0,0,0,,,,,,redacted@example.invalid,"Oakland, California",,,yes
Drink and Drive-In,a1XVI00000FMO4f2AH,6:00 & F,0,0,0,,,,,,,Reno,,,yes
Nipple Crime,a1XVI00000FMO6H2AX,8:00 & F,0,0,0,https://nipplecrime.org/,,,,,redacted@example.invalid,reno,,,yes
Venice Red Light,a1XVI00000FMO7t2AH,2:2:00 & 00 B,0,0,0,,veniceredlight,,,,redacted@example.invalid,Venice Beach,yes,,yes
Kidsville,a1XVI00000FMOCj2AP,5:00 & E,0,0,0,http://kidsville.org,,,,,redacted@example.invalid,San Francisco Bay area,,,yes
NumbSkulls,a1XVI00000FMOFx2AP,8:45 & J,0,0,0,http://skullcar.com/,,,,,,San Rafael,,,yes
Rabbit Hole,a1XVI00000FMOJB2A5,9:00 & B@ 9:45,0,0,0,https://www.rabbitholecamp.org,,,,,redacted@example.invalid,Concord,yes,,yes
Illuminaughty,a1XVI00000FMPFF2A5,9:00 & G@ 11:00,0,0,0,http://www.campilluminaughty.com,,2008,,,redacted@example.invalid,Los Angeles,yes,,yes
Black Rock Academy,a1XVI00000FMPGr2AP,5:45 & C,0,0,0,,camp.black.rock.academy,,,,,Los Angeles and Oakland,,,yes
The G-Spot & Sloth Sinema,a1XVI00000FMPK52AP,6:45 & D,0,0,0,,,,,,,Bay Area,,,yes
Owl and the Pussycat,a1XVI00000FMPQX2A5,4:45 & F,0,0,0,,,,,,,"Portland, OR",,,yes
Last Camp Sitting,a1XVI00000FMPTl2AP,9:15 & A,0,0,0,,,,,,redacted@example.invalid,San Francisco,,,yes
PickleBack Mountain,a1XVI00000FMPYb2AP,8:45 & D,0,0,0,,,,,,,San Francisco,,,yes
Playa Piano Bar and Lounge,a1XVI00000FMPaD2AX,7:30 & B@ 2:30,0,0,0,,,,,,,San Francisco,,,yes
Stimulation Station,a1XVI00000FMPf32AH,2:45 & B,0,0,0,,,,,,redacted@example.invalid,Lake Tahoe,yes,,yes
A&mpersand,a1XVI00000FMPgf2AH,7:15 & D,0,0,0,,,,,,,San Francisco,,,yes
Moonlight Collective,a1XVI00000FMPoj2AH,2:45 & E,0,0,0,https://moonlightcollective.studio/,the.moonlight.collective,the.moonlight.collective,,,redacted@example.invalid,San Francisco,yes,,yes
Hookahdome,a1XVI00000FMPwn2AH,4:15 & Esp,0,0,0,,,Hookahdome,,,redacted@example.invalid,Chico,yes,,yes
Camp Safari,a1XVI00000FMQ012AH,4:45 & C,0,0,0,,,burningcampsafari,,,redacted@example.invalid,Berkeley,,,yes
Shoturanga,a1XVI00000FMQ3F2AX,7:45 & D,0,0,0,,,,,,,Reno,,,yes
Lunar Disco,a1XVI00000FMQcj2AH,8:15 & F,0,0,0,,,profile.php,,,redacted@example.invalid,"Santa Rosa, CA",yes,,yes
Fauxliage,a1XVI00000FMQjB2AX,10:00 & B& B,0,0,0,https://fauxliage.lol/,,,,,,San Francisco,,,yes
Fun-do Bar,a1XVI00000FMQrF2AX,2:45 & D,0,0,0,,,fundobar,,,,Lake Tahoe,,,yes
Huǒ Fèng MV Support Camp,,,0,0,0,,,,,,,,,,
Helioz,a1XVI00000FMQuT2AX,3:00 & G@ 7:00,0,0,0,https://helioz.camp/,,,,,,San Francisco,yes,,yes
Baggage Check,a1XVI00000FMR8z2AH,3:00 & E,0,0,0,,,,,,,Seattle,yes,,yes
Bumblepuss,a1XVI00000FMSMn2AP,9:00 & F,0,0,0,http://www.nectarvillage.com,,,,,redacted@example.invalid,San Francisco,,,yes
Roadside Distraction,a1XVI00000FMSTF2A5,7:15 & B,0,0,0,,,,,,redacted@example.invalid,Carbondale,,,yes
Bistro Manonio,a1XVI00000FMTQv2AP,4:15 & A,0,0,0,,,,,,,Marseille,,,yes
Solaris,a1XVI00000FMTSX2A5,2:15 & K,0,0,0,,,,,,,Reno,,,yes
Camp Reno Nation,a1XVI00000FMTab2AH,2:15 & C,0,0,0,,reno_nation,,,,redacted@example.invalid,Reno,,,yes
Rubber Armstrong,a1XVI00000FMTcD2AX,9:30 & E,0,0,0,https://rubberarmstrong.com/,,,,,redacted@example.invalid,"London, UK",,,yes
Playa Delicacies Cooking School,a1XVI00000FMTdp2AH,7:15 & C,0,0,0,,,,,,,reno,,,yes
Disco Space Shuttle,a1XVI00000FMTkH2AX,8:15 & E,0,0,0,,https://www.instagram.com/discospaceshuttle/,discospaceshuttle,,,redacted@example.invalid,San Francisco,,,yes
Hack-a-Cola,a1XVI00000FMTvZ2AX,CC@ 3:00,0,0,0,https://hack-a-cola.org/,,,,,,Gerlach,,,yes
Tetrix Stargazer,a1XVI00000FMTxB2AX,9:30 & F,0,0,0,,,,,,redacted@example.invalid,Sydney,,,yes
T33M0,a1XVI00000FMTyn2AH,10:00 & B,0,0,0,,,,,,,Sydney,,,yes
MidNight Caff Cove,a1XVI00000FMU212AH,5:45 & G,0,0,0,,,,,,,Las Vegas,yes,,yes
Camp O-Wow,a1XVI00000FMUYH2A5,7:45 & C,0,0,0,,,,,,,"London, England",,,yes
Bld,a1XVI00000FMUd72AH,6:00 & G@ 2:15,0,0,0,,,,,,,Eugene,yes,,yes
Discotique Pancake Boutique,a1XVI00000FMUgL2AX,2:00 & G,0,0,0,https://discotique.org,discotique.bm,,,,redacted@example.invalid,Vancouver,yes,,yes
Dragon Axis Disco,a1XVI00000FMUlB2AX,2:45 & D,0,0,0,,,,,,,,,,yes
Y Knot Saloon,a1XVI00000FMVnh2AH,3:30 & E,0,0,0,,,,,,,San Francisco,,,yes
Mural Maze Support Camp,a1XVI00000FMX4j2AH,7:15 & B,0,0,0,,,,,,,Denver,,,yes
Big Unicorn Energy,a1XVI00000FMZCz2AP,9:30 & K,0,0,0,,,,,,,New York City,,,yes
The Lavender Lounge,a1XVI00000FMbxx2AD,6:15 & E,0,0,0,,,,,,redacted@example.invalid,Sebastopol,,,yes
Pink Squirrel,a1XVI00000FMcSb2AL,4:45 & F,0,0,0,,,,,,,"Vancouver, WA",,,yes
Clevian Circularity,a1XVI00000FMdN32AL,6:45 & Esp,0,0,0,,,,,,redacted@example.invalid,Milwaukee,yes,,yes
The Melon Motel,a1XVI00000FMePZ2A1,2:00 & I,0,0,0,,melonmotel,,,,redacted@example.invalid,Los Angeles,yes,,yes
Shanti Town Sound Movement,a1XVI00000FMf2H2AT,2:30 & E,0,0,0,,,,,,,Denver,yes,,yes
PopoVille,a1XVI00000FMfzy2AD,4:30 & G@ 1:00,0,0,0,,,,,,redacted@example.invalid,"San Ramon, CA",yes,,yes
Orphan Endorphin,a1XVI00000FMgXp2AL,7:45 & E,0,0,0,http://www.orphanendorphin.com,,,,,redacted@example.invalid,"Denver , Colorado",yes,,yes
Deco Fish,a1XVI00000FMgnx2AD,9:45 & K,0,0,0,https://www.deco.fish/,tablenectar,2008,,,,Placerville,,,yes
Gauchos del Fuego,a1XVI00000FMgsn2AD,6:30 & C,0,0,0,,,GauchosDelFuego,,,redacted@example.invalid,Buenos Aires,,,yes
Horizon,a1XVI00000FMhAX2A1,8:45 & Esp,0,0,0,http://www.horizoncamp.org,horizon_camp,2008,,,redacted@example.invalid,Fort Lauderdale,yes,,yes
Dickhead Camp,a1XVI00000FMhLp2AL,4:15 & E,0,0,0,,,,,,,Incline village,,,yes
GlowMeUp,a1XVI00000FMhP32AL,4:15 & D,0,0,0,,,,,,,"Santa Cruz, California",,,yes
"Shake, Shake, Shake",a1XVI00000FMhSH2A1,CC@ 10:00,0,0,0,,,,,,,Brooklyn,,,yes
Legends of the Hidden Playa,a1XVI00000FMiJV2A1,4:30 & B@ 2:15,0,0,0,https://hiddenplaya.art,,,,,redacted@example.invalid,"Austin, Texas",yes,,yes
Slutplatz,a1XVI00000FMiL82AL,7:45 & C,0,0,0,,,,,,,San Francisco,yes,,yes
BRCvr presents BurnerSphere,a1XVI00000FMipl2AD,3:45 & B,0,0,0,https://burnersphere.com/,,,,,redacted@example.invalid,Los Angeles,,,yes
Tazii,a1XVI00000FMj2f2AD,3:00 & D,0,0,0,,,,,,redacted@example.invalid,Brooklyn,,,yes
Witches Brew,a1XVI00000FMj972AD,2:30 & A,0,0,0,,,,,,redacted@example.invalid,Las Vegas,yes,,yes
